corpus,commit,specification,assay_id,modality,status,generated_efgdl,compiles,compile_error,lane_count,capability_blockers,diagnostic_codes
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10xCRISPR/spec.yaml","10xCRISPR","crispr",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10xCRISPR/spec.yaml","10xCRISPR","rna",BlockedSourceInvalid,false,false,"",6,"","primer_not_found"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10x_atac/spec.yaml","10xATAC","atac",SupportedRequiresBinding,true,true,"",4,"",""
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10x_rna_5prime/spec.yaml","10xRNA5prime","rna",BlockedSeqprocCapability,false,false,"",3,"variable_read_window_layout","read_window_spans_regions"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10x_rna_atac/spec.yaml","10xMultiome","atac",SupportedRequiresBinding,true,true,"",4,"",""
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10x_rna_atac/spec.yaml","10xMultiome","rna",SupportedRequiresBinding,true,true,"",3,"",""
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10x_rna_atac_multi/spec.yaml","10x-ATAC-RNA-MULTI","atac",SupportedRequiresBinding,true,true,"",4,"",""
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10x_rna_atac_multi/spec.yaml","10x-ATAC-RNA-MULTI","rna",SupportedRequiresBinding,true,true,"",3,"",""
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10x_rna_atac_multi/spec.yaml","10x-ATAC-RNA-MULTI","tag",SupportedRequiresBinding,true,true,"",3,"",""
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10x_rna_v1/spec.yaml","10xRNAv1","rna",Supported,true,true,"",2,"",""
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10x_rna_v2/spec.yaml","10xRNAv2","rna",SupportedRequiresBinding,true,true,"",2,"",""
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10x_rna_v3/spec.yaml","10xRNAv3","rna",SupportedRequiresBinding,true,true,"",3,"",""
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10xfb_3prime/spec.yaml","10xFB protein and RNA assay 3'","protein",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10xfb_3prime/spec.yaml","10xFB protein and RNA assay 3'","rna",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10xfb_5prime/spec.yaml","10xFB protein and RNA assay 5'","protein",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10xfb_5prime/spec.yaml","10xFB protein and RNA assay 5'","rna",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10xfb_vdj_5prime/spec.yaml","10xVDJ and RNA 5'","rna",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/10xfb_vdj_5prime/spec.yaml","10xVDJ and RNA 5'","vdj",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/PIPseqV2/spec.yaml","","RNA",SupportedRequiresBinding,true,true,"",2,"",""
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/PIPseqV3/spec.yaml","","RNA",SupportedRequiresBinding,true,true,"",2,"",""
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/SureCell/spec.yaml","","RNA",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/Tang2009/spec.yaml","","RNA",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
