timestamp,benchmark,time_mid_seconds,tool,protocol,run_size,threads,runs,command
2025-11-20T11:28:31-05:00,splitcode_10x_N=1000000_T=4,0.6100632920861244,splitcode,10x,1000000,4,5,"/Users/elanfisher/Desktop/fall2025/combine-lab/splitcode/build/src/splitcode -c /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/splitcode_configs/splitcode_10x.txt --nFastqs=2 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/10x_N1000000_R1.fastq /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/10x_N1000000_R2.fastq -o /dev/null,/dev/null -t 4"
2025-11-20T11:28:34-05:00,seqproc_10x_N=1000000_T=4,0.5711391249205917,seqproc,10x,1000000,4,5,cargo run --release --bin seqproc -- --geom /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/10x.geom --file1 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/10x_N1000000_R1.fastq --file2 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/10x_N1000000_R2.fastq --threads 4 --out1 /dev/null --out2 /dev/null
2025-11-20T11:29:03-05:00,splitcode_10x_N=10000000_T=4,5.617732665967196,splitcode,10x,10000000,4,5,"/Users/elanfisher/Desktop/fall2025/combine-lab/splitcode/build/src/splitcode -c /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/splitcode_configs/splitcode_10x.txt --nFastqs=2 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/10x_N10000000_R1.fastq /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/10x_N10000000_R2.fastq -o /dev/null,/dev/null -t 4"
2025-11-20T11:29:18-05:00,seqproc_10x_N=10000000_T=4,2.954422374954447,seqproc,10x,10000000,4,5,cargo run --release --bin seqproc -- --geom /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/10x.geom --file1 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/10x_N10000000_R1.fastq --file2 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/10x_N10000000_R2.fastq --threads 4 --out1 /dev/null --out2 /dev/null
2025-11-20T11:29:24-05:00,splitcode_sci3_N=1000000_T=4,1.3169436249881983,splitcode,sci3,1000000,4,5,"/Users/elanfisher/Desktop/fall2025/combine-lab/splitcode/build/src/splitcode -c /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/splitcode_configs/splitcode_sci3.txt --nFastqs=2 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/sci3_N1000000_R1.fastq /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/sci3_N1000000_R2.fastq -o /dev/null,/dev/null -t 4"
2025-11-20T11:29:28-05:00,seqproc_sci3_N=1000000_T=4,0.7010057920124382,seqproc,sci3,1000000,4,5,cargo run --release --bin seqproc -- --geom /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/sci3.geom --file1 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/sci3_N1000000_R1.fastq --file2 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/sci3_N1000000_R2.fastq --threads 4 --out1 /dev/null --out2 /dev/null
2025-11-20T11:30:28-05:00,splitcode_sci3_N=10000000_T=4,12.018658916000277,splitcode,sci3,10000000,4,5,"/Users/elanfisher/Desktop/fall2025/combine-lab/splitcode/build/src/splitcode -c /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/splitcode_configs/splitcode_sci3.txt --nFastqs=2 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/sci3_N10000000_R1.fastq /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/sci3_N10000000_R2.fastq -o /dev/null,/dev/null -t 4"
2025-11-20T11:30:49-05:00,seqproc_sci3_N=10000000_T=4,4.1965924999676645,seqproc,sci3,10000000,4,5,cargo run --release --bin seqproc -- --geom /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/sci3.geom --file1 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/sci3_N10000000_R1.fastq --file2 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/sci3_N10000000_R2.fastq --threads 4 --out1 /dev/null --out2 /dev/null
2025-11-20T11:30:57-05:00,splitcode_sci3_tolerant_N=1000000_T=4,1.3876308749895543,splitcode,sci3_tolerant,1000000,4,5,"/Users/elanfisher/Desktop/fall2025/combine-lab/splitcode/build/src/splitcode -c /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/splitcode_configs/splitcode_sci3_tolerant.txt --nFastqs=2 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/sci3_N1000000_R1.fastq /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/sci3_N1000000_R2.fastq -o /dev/null,/dev/null -t 4"
2025-11-20T11:31:00-05:00,seqproc_sci3_tolerant_N=1000000_T=4,0.5936866248957813,seqproc,sci3_tolerant,1000000,4,5,cargo run --release --bin seqproc -- --geom /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/sci3_tolerant.geom --file1 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/sci3_N1000000_R1.fastq --file2 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench_mismatch/sci3_N1000000_R2.fastq --threads 4 --out1 /dev/null --out2 /dev/null
